feature,coefficient,abs_coefficient
county__county_Hutchinson,-0.42702562388338255,0.42702562388338255
county__county_Deaf Smith,-0.42514148356927317,0.42514148356927317
county__county_Camp,-0.42383887836485185,0.42383887836485185
county__county_Bandera,-0.422913309897429,0.422913309897429
county__county_Comanche,-0.42093715418761096,0.42093715418761096
county__county_Colorado,-0.42072696610498717,0.42072696610498717
county__county_Van Zandt,-0.4200141999316694,0.4200141999316694
county__county_Hopkins,-0.4176072269490909,0.4176072269490909
county__county_Polk,-0.4173573643158536,0.4173573643158536
county__county_Zavala,-0.4172636007693884,0.4172636007693884
county__county_Panola,-0.41707444651857056,0.41707444651857056
county__county_Cooke,-0.4145470996043002,0.4145470996043002
county__county_Robertson,-0.4139352387130117,0.4139352387130117
county__county_Shelby,-0.4138515575493275,0.4138515575493275
county__county_Orange,-0.41330124294510295,0.41330124294510295
county__county_San Jacinto,-0.41186382902074314,0.41186382902074314
county__county_Reeves,-0.41150097566287425,0.41150097566287425
county__county_Blanco,-0.410304291858141,0.410304291858141
county__county_Limestone,-0.40977785780417,0.40977785780417
county__county_Kerr,-0.4075210917779299,0.4075210917779299
county__county_Hale,-0.4057643913473892,0.4057643913473892
county__county_Moore,-0.404438907327147,0.404438907327147
county__county_Cherokee,-0.40330218523882294,0.40330218523882294
county__county_Bosque,-0.4032789898600145,0.4032789898600145
county__county_Milam,-0.4006252969952997,0.4006252969952997
county__county_Llano,-0.4002323582831701,0.4002323582831701
county__county_Scurry,-0.39892246499137435,0.39892246499137435
county__county_Tyler,-0.3985003645022101,0.3985003645022101
county__county_Karnes,-0.39718835743443653,0.39718835743443653
county__county_Hood,-0.3971845847437034,0.3971845847437034
county__county_Lee,-0.3968670003514029,0.3968670003514029
county__county_Harrison,-0.3960722374915326,0.3960722374915326
county__county_Lampasas,-0.39591306016506966,0.39591306016506966
county__county_Palo Pinto,-0.39299684590083933,0.39299684590083933
county__county_Andrews,-0.39296019098209267,0.39296019098209267
county__county_Austin,-0.3925492205394698,0.3925492205394698
county__county_Aransas,-0.39173433975089933,0.39173433975089933
county__county_Zapata,-0.3885787050107447,0.3885787050107447
county__county_Chambers,-0.3866629188884454,0.3866629188884454
county__county_Dimmit,-0.383139883727542,0.383139883727542
county__county_Jasper,-0.3808028194482988,0.3808028194482988
county__county_Duval,-0.38014732094868414,0.38014732094868414
